,id,source patient,type,process time,cycle time
0,3,1,4,53.35581316620946,64.64748639484871
0,8,1,2,45.02836921126271,50.9697522604886
0,1,1,3,90.72913414367885,98.1740361101406
0,5,1,4,53.19858961857288,91.19655989020602
0,17,1,2,49.53270489887695,64.69405170887708
0,14,1,2,47.05749397686946,78.99408292488599
0,15,1,4,58.64349863149452,138.2675986914253
0,40,1,2,48.665291183306465,123.50183622378478
0,6,1,1,72.0657926852758,175.95982600244605
0,37,1,2,49.815767859343914,157.6131965045197
0,11,1,4,52.93076562178179,186.6318034161588
0,10,1,1,77.44877891913904,224.41679067526724
0,45,1,2,48.07385106833676,201.19607948401855
0,12,1,1,73.19420890682024,250.03670153734723
0,18,1,4,60.05775655475437,254.0057660708741
